,TRADEDATE,CLOSE
860,2016-08-29,143.55
861,2016-08-30,143.18
862,2016-08-31,143.5
863,2016-09-01,144.25
864,2016-09-02,146.88
865,2016-09-05,149.5
866,2016-09-06,150.64
867,2016-09-07,154.33
868,2016-09-08,153.45
869,2016-09-09,151.6
870,2016-09-12,151.43
871,2016-09-13,149.8
872,2016-09-14,150.86
873,2016-09-15,149.14
874,2016-09-16,147.0
875,2016-09-19,148.66
876,2016-09-20,149.3
877,2016-09-21,150.67
878,2016-09-22,154.18
879,2016-09-23,151.5
880,2016-09-26,149.1
881,2016-09-27,147.53
882,2016-09-28,147.18
883,2016-09-29,148.47
884,2016-09-30,145.34
885,2016-10-03,148.87
886,2016-10-04,148.1
887,2016-10-05,147.95
888,2016-10-06,148.9
889,2016-10-07,148.74
890,2016-10-10,151.27
891,2016-10-11,151.3
892,2016-10-12,149.2
893,2016-10-13,146.09
894,2016-10-14,146.73
895,2016-10-17,146.46
896,2016-10-18,147.74
897,2016-10-19,148.6
898,2016-10-20,148.26
899,2016-10-21,148.42
900,2016-10-24,149.15
901,2016-10-25,151.57
902,2016-10-26,150.67
903,2016-10-27,149.3
904,2016-10-28,149.2
905,2016-10-31,147.4
906,2016-11-01,145.85
907,2016-11-02,142.36
908,2016-11-03,142.75
909,2016-11-07,143.4
910,2016-11-08,146.11
911,2016-11-09,151.04
912,2016-11-10,153.36
913,2016-11-11,151.51
914,2016-11-14,150.4
915,2016-11-15,149.85
916,2016-11-16,149.94
917,2016-11-17,149.75
918,2016-11-18,150.05
919,2016-11-21,153.0
920,2016-11-22,155.0
921,2016-11-23,155.23
922,2016-11-24,161.15
923,2016-11-25,160.36
924,2016-11-28,159.4
925,2016-11-29,158.07
926,2016-11-30,158.7
927,2016-12-01,158.7
928,2016-12-02,159.4
929,2016-12-05,162.02
930,2016-12-06,159.35
931,2016-12-07,159.95
932,2016-12-08,168.98
933,2016-12-09,169.66
934,2016-12-12,175.4
935,2016-12-13,176.9
936,2016-12-14,173.7
937,2016-12-15,174.92
938,2016-12-16,173.9
939,2016-12-19,174.3
940,2016-12-20,175.9
941,2016-12-21,174.71
942,2016-12-22,170.0
943,2016-12-23,171.15
944,2016-12-26,171.97
945,2016-12-27,172.27
946,2016-12-28,170.1
947,2016-12-29,171.3
948,2016-12-30,173.25
949,2017-01-03,180.12
950,2017-01-04,175.95
951,2017-01-05,171.9
952,2017-01-06,170.69
953,2017-01-09,168.35
954,2017-01-10,171.6
955,2017-01-11,169.05
956,2017-01-12,168.27
957,2017-01-13,164.9
958,2017-01-16,164.66
959,2017-01-17,165.98
960,2017-01-18,165.24
961,2017-01-19,166.3
962,2017-01-20,167.49
963,2017-01-23,166.75
964,2017-01-24,170.25
965,2017-01-25,170.26
966,2017-01-26,173.79
967,2017-01-27,178.92
968,2017-01-30,174.6
969,2017-01-31,172.2
970,2017-02-01,173.9
971,2017-02-02,172.83
972,2017-02-03,173.8
973,2017-02-06,172.87
974,2017-02-07,173.47
975,2017-02-08,171.2
976,2017-02-09,168.8
977,2017-02-10,165.5
978,2017-02-13,164.7
979,2017-02-14,162.7
980,2017-02-15,163.5
981,2017-02-16,166.49
982,2017-02-17,165.49
983,2017-02-20,165.44
984,2017-02-21,167.0
985,2017-02-22,165.9
986,2017-02-24,165.51
987,2017-02-27,160.95
988,2017-02-28,156.0
989,2017-03-01,160.0
990,2017-03-02,163.4
991,2017-03-03,164.4
992,2017-03-06,162.0
993,2017-03-07,160.98
994,2017-03-09,156.2
995,2017-03-10,157.5
996,2017-03-13,158.92
997,2017-03-14,157.42
998,2017-03-15,156.2
999,2017-03-16,158.35
1000,2017-03-17,161.15
1001,2017-03-20,163.8
1002,2017-03-21,162.98
1003,2017-03-22,162.92
1004,2017-03-23,164.15
1005,2017-03-24,164.52
1006,2017-03-27,162.69
1007,2017-03-28,163.66
1008,2017-03-29,163.22
1009,2017-03-30,163.5
1010,2017-03-31,159.8
1011,2017-04-03,161.8
1012,2017-04-04,163.5
1013,2017-04-05,168.1
1014,2017-04-06,167.49
1015,2017-04-07,161.49
1016,2017-04-10,155.2
1017,2017-04-11,156.0
1018,2017-04-12,150.28
1019,2017-04-13,152.0
1020,2017-04-14,149.24
1021,2017-04-17,153.99
1022,2017-04-18,153.4
1023,2017-04-19,153.6
1024,2017-04-20,158.21
1025,2017-04-21,159.59
1026,2017-04-24,162.5
1027,2017-04-25,162.55
1028,2017-04-26,165.05
1029,2017-04-27,164.69
1030,2017-04-28,165.2
1031,2017-05-02,166.64
1032,2017-05-03,164.71
1033,2017-05-04,165.5
1034,2017-05-05,165.8
1035,2017-05-10,170.8
1036,2017-05-11,169.97
1037,2017-05-12,167.7
1038,2017-05-15,171.35
1039,2017-05-16,170.66
1040,2017-05-17,169.24
1041,2017-05-18,166.5
1042,2017-05-19,168.87
1043,2017-05-22,168.03
1044,2017-05-23,166.31
1045,2017-05-24,165.7
1046,2017-05-25,164.05
1047,2017-05-26,160.7
1048,2017-05-29,163.9
1049,2017-05-30,161.64
1050,2017-05-31,155.93
1051,2017-06-01,153.0
1052,2017-06-02,157.14
1053,2017-06-05,154.7
1054,2017-06-06,152.8
1055,2017-06-07,152.82
1056,2017-06-08,151.93
1057,2017-06-09,150.13
1058,2017-06-13,146.0
1059,2017-06-14,143.0
1060,2017-06-15,139.0
1061,2017-06-16,141.63
1062,2017-06-19,145.0
1063,2017-06-20,144.9
1064,2017-06-21,143.49
1065,2017-06-22,144.25
1066,2017-06-23,144.1
1067,2017-06-26,144.49
1068,2017-06-27,147.1
1069,2017-06-28,145.5
1070,2017-06-29,143.8
1071,2017-06-30,145.59
1072,2017-07-03,147.5
1073,2017-07-04,149.39
1074,2017-07-05,148.96
1075,2017-07-06,150.35
1076,2017-07-07,152.16
1077,2017-07-10,155.0
1078,2017-07-11,156.91
1079,2017-07-12,160.85
1080,2017-07-13,159.94
1081,2017-07-14,161.4
1082,2017-07-17,161.98
1083,2017-07-18,161.7
1084,2017-07-19,164.34
1085,2017-07-20,163.93
1086,2017-07-21,162.1
1087,2017-07-24,161.33
1088,2017-07-25,160.22
1089,2017-07-26,161.55
1090,2017-07-27,166.0
1091,2017-07-28,165.4
1092,2017-07-31,164.53
1093,2017-08-01,166.31
